d	act	pm	wb	loans	amt
2026-08-31	0	0	1	1	140.00
2026-08-31	0	0	2	1	100.00
2026-08-31	0	0	5	1	630.00
2026-08-31	0	0	6	303	218978.22
2026-08-31	0	3	2	2	253.00
2026-08-31	0	3	3	1	130.00
2026-08-31	0	3	6	7	749.00
2026-08-31	0	12	6	4	73.00
2026-08-31	1	0	1	1	264.00
2026-08-31	1	0	2	28	3295.68
2026-08-31	1	0	3	18	2845.18
2026-08-31	1	0	4	204	50748.49
2026-08-31	1	0	5	151	57263.40
2026-08-31	1	0	6	502	352262.35
2026-08-31	1	3	2	104	13139.47
2026-08-31	1	3	3	97	11641.18
2026-08-31	1	12	1	1	200.00
2026-08-31	1	12	2	59	7670.27
2026-08-31	1	12	3	57	8640.94
2026-08-31	1	68	1	1	10.00
2026-08-31	1	68	2	61	8617.21
2026-08-31	1	68	3	51	7159.75
2026-08-31	1	68	6	1	1440.00
2026-09-01	0	0	1	4	590.00
2026-09-01	0	0	2	1	100.00
2026-09-01	0	0	5	1	630.00
2026-09-01	0	0	6	303	218978.22
2026-09-01	0	3	2	2	253.00
2026-09-01	0	3	3	1	130.00
2026-09-01	0	3	6	7	749.00
2026-09-01	0	12	6	4	73.00
2026-09-01	1	0	1	27	3656.67
2026-09-01	1	0	2	26	2854.68
2026-09-01	1	0	3	19	2907.18
2026-09-01	1	0	4	202	54158.19
2026-09-01	1	0	5	150	59016.71
2026-09-01	1	0	6	504	360348.35
2026-09-01	1	3	1	13	1382.29
2026-09-01	1	3	2	91	11616.97
2026-09-01	1	3	3	100	11902.71
2026-09-01	1	12	1	9	1354.02
2026-09-01	1	12	2	48	6386.37
2026-09-01	1	12	3	59	9023.18
2026-09-01	1	68	1	11	1708.84
2026-09-01	1	68	2	55	7898.10
2026-09-01	1	68	3	52	7244.46
2026-09-01	1	68	6	1	1440.00
2026-09-02	0	0	1	3	450.00
2026-09-02	0	0	2	2	240.00
2026-09-02	0	0	5	1	630.00
2026-09-02	0	0	6	303	218978.22
2026-09-02	0	3	2	2	253.00
2026-09-02	0	3	3	1	130.00
2026-09-02	0	3	6	7	749.00
2026-09-02	0	12	6	4	73.00
2026-09-02	1	0	1	33	4390.04
